,main_section,section_name,sub_section_name,is_relevant,is_include
368,OPERATIVE REPORT,Operative Procedure,Indication for procedure,Yes,Yes
369,OPERATIVE REPORT,Operative Procedure,Discription procedure,Yes,Yes
370,OPERATIVE REPORT,Operative Procedure,General Information,Yes,Yes
371,OPERATIVE REPORT,Operative Procedure,Case Tracking Events,Yes,Yes
372,OPERATIVE REPORT,Operative Procedure,Event Tracking,Yes,Yes
373,OPERATIVE REPORT,Operative Procedure,Panel Information,Yes,Yes
374,OPERATIVE REPORT,Operative Procedure,Surgeons,Yes,Yes
375,OPERATIVE REPORT,Operative Procedure,Staff,Yes,Yes
376,OPERATIVE REPORT,Operative Procedure,Anesthesia Staff,Yes,Yes
377,OPERATIVE REPORT,Operative Procedure,Questionnaire Data,Yes,Yes
378,OPERATIVE REPORT,Operative Procedure,Patient Preparation,Yes,Yes
379,OPERATIVE REPORT,Operative Procedure,Skin Condition,Yes,Yes
380,OPERATIVE REPORT,Operative Procedure,Handoff Documentation,Yes,Yes
381,OPERATIVE REPORT,Operative Procedure,Specimens,Yes,Yes
382,OPERATIVE REPORT,Operative Procedure,Other Equipment,Yes,Yes
383,OPERATIVE REPORT,Operative Procedure,Electrosurgery Devices,Yes,Yes
384,OPERATIVE REPORT,Operative Procedure,Instruments,Yes,Yes
385,OPERATIVE REPORT,Operative Procedure,Supplies & Drugs,Yes,Yes
386,OPERATIVE REPORT,Operative Procedure,Post-op Skin Information,Yes,Yes
387,OPERATIVE REPORT,Operative Procedure,Counts by Panel,Yes,Yes
388,OPERATIVE REPORT,Operative Procedure,Timeouts,Yes,Yes
389,OPERATIVE REPORT,Operative Procedure,Case Completion Information,Yes,Yes
390,OPERATIVE REPORT,Operative Procedure,Verification Information,Yes,Yes
391,OPERATIVE REPORT,Operative Procedure,OPERATION PERFORMED,Yes,Yes
392,OPERATIVE REPORT,Operative Procedure,OPERATIVE DESCRIPTION,Yes,Yes
393,OPERATIVE REPORT,Operative Procedure,RADIOGRAPHIC ASSESSMENT,Yes,Yes
394,OPERATIVE REPORT,Operative Procedure,DATE OF OPERATION/PROCEDURE,Yes,Yes
395,OPERATIVE REPORT,Operative Procedure,DESCRIPTION OF THE OPERATION IN BRIEF,Yes,Yes
396,OPERATIVE REPORT,Operative Procedure,BLOOD LOSS,Yes,Yes
397,OPERATIVE REPORT,Operative Procedure,OPERATION IN DETAIL,Yes,Yes
398,OPERATIVE REPORT,Operative Procedure,DETAILS OF THE PROCEDURE,Yes,Yes
399,OPERATIVE REPORT,Operative Procedure,Specimen,Yes,Yes
400,OPERATIVE REPORT,Operative Procedure,Operative Procedure Performed,Yes,Yes
401,OPERATIVE REPORT,Operative Procedure,Type of Anesthesia,Yes,Yes
402,OPERATIVE REPORT,Operative Procedure,Complaints,Yes,Yes
403,OPERATIVE REPORT,Operative Procedure,Operative Procedure technique,Yes,Yes
404,OPERATIVE REPORT,Operative Procedure,Date of Operation,Yes,Yes
405,OPERATIVE REPORT,Operative Procedure,Indications for Surgery/Procedure,Yes,Yes
406,OPERATIVE REPORT,Operative Procedure,Description of Findings,Yes,Yes
407,OPERATIVE REPORT,Operative Procedure,Technical/Surgical Procedures Used,Yes,Yes
408,OPERATIVE REPORT,Operative Procedure,Specimens/Tissue Removed,Yes,Yes
409,OPERATIVE REPORT,Operative Procedure,Hospital Medications,Yes,Yes
410,OPERATIVE REPORT,Operative Procedure,Home Medications / Respiratory Treatment,Yes,Yes
411,OPERATIVE REPORT,Operative Procedure,Medical History,Yes,Yes
412,OPERATIVE REPORT,Operative Procedure,Surgical History,Yes,Yes
413,OPERATIVE REPORT,Operative Procedure,Additional Historw/ROS,Yes,Yes
414,OPERATIVE REPORT,Operative Procedure,Operative Summary,Yes,Yes
415,OPERATIVE REPORT,Operative Procedure,PROSTHETIC DEVICES,Yes,Yes
416,OPERATIVE REPORT,Operative Procedure,Date of Surgery,Yes,Yes
417,OPERATIVE REPORT,Operative Procedure,Preop Diagnosis,Yes,Yes
418,OPERATIVE REPORT,Operative Procedure,Postop Diagnosis,Yes,Yes
419,OPERATIVE REPORT,Operative Procedure,DATE OF PROCEDURE,Yes,Yes
420,OPERATIVE REPORT,Operative Procedure,DISPOSITION,Yes,Yes
421,OPERATIVE REPORT,Operative Procedure,OPERATIVE REPORT,Yes,Yes
422,OPERATIVE REPORT,Operative Procedure,Postoperative Information,Yes,Yes
423,OPERATIVE REPORT,Operative Procedure,Subjective,Yes,Yes
424,OPERATIVE REPORT,Operative Procedure,Assessment,Yes,Yes
425,OPERATIVE REPORT,Operative Procedure,Procedure Name,Yes,Yes
426,OPERATIVE REPORT,Operative Procedure,Procedure Findings,Yes,Yes
427,OPERATIVE REPORT,Operative Procedure,OPERATIVE FINDINGS,Yes,Yes
428,OPERATIVE REPORT,Operative Procedure,DESCRIPTION OF THE PROCEDURE,Yes,Yes
429,OPERATIVE REPORT,Operative Procedure,HISTORY OF PRESENT ILLNESS AND DOCUMENTATION OF INFORMED CO,Yes,Yes
430,OPERATIVE REPORT,Operative Procedure,IMPLANTED MATERIAL,Yes,Yes
431,OPERATIVE REPORT,Operative Procedure,STIMULATION THRESHOLDS,Yes,Yes
432,OPERATIVE REPORT,Operative Procedure,BRADY PARAMETER SETTINGS,Yes,Yes
433,OPERATIVE REPORT,Operative Procedure,TACHY PARAMETER SETTINGS,Yes,Yes
434,OPERATIVE REPORT,Operative Procedure,Detailed description of procedure,Yes,Yes
435,OPERATIVE REPORT,Operative Procedure,Attestation,Yes,Yes
436,OPERATIVE REPORT,Operative Procedure,Procedure Summary,Yes,Yes
437,OPERATIVE REPORT,Operative Procedure,Procedure(s),Yes,Yes
438,OPERATIVE REPORT,Operative Procedure,Procedure Description,Yes,Yes
439,OPERATIVE REPORT,Operative Procedure,ESTIMATED FLOOD LOSS,Yes,Yes
440,OPERATIVE REPORT,Operative Procedure,Procedural Background,Yes,Yes
441,OPERATIVE REPORT,Operative Procedure,Other Procedures,Yes,Yes
442,OPERATIVE REPORT,Operative Procedure,Anesthesia Type,Yes,Yes
443,OPERATIVE REPORT,Operative Procedure,Implants and Tissue,Yes,Yes
444,OPERATIVE REPORT,Operative Procedure,Specimen(s),Yes,Yes
445,OPERATIVE REPORT,Operative Procedure,Impression/Plan,Yes,Yes
446,OPERATIVE REPORT,Operative Procedure,PROCEDURE IN DETAIL,Yes,Yes
447,OPERATIVE REPORT,Operative Procedure,PROCEDURES DONE,Yes,Yes
448,OPERATIVE REPORT,Operative Procedure,Surgery start date/time,Yes,Yes
449,OPERATIVE REPORT,Operative Procedure,Name of procedure,Yes,Yes
450,OPERATIVE REPORT,Operative Procedure,Complication(s),Yes,Yes
451,OPERATIVE REPORT,Operative Procedure,Description of technique/procedure,Yes,Yes
452,OPERATIVE REPORT,Operative Procedure,Anesthesi,Yes,Yes
453,OPERATIVE REPORT,Operative Procedure,Operative Indications,Yes,Yes
454,OPERATIVE REPORT,Operative Procedure,Cardiac Catheterization Procedure Report,Yes,Yes
455,OPERATIVE REPORT,Operative Notes nd Reports,INDICATIONS,Yes,Yes
456,OPERATIVE REPORT,Operative Notes,POSTOPERATIVE DIAGNOSIS,Yes,Yes
457,OPERATIVE REPORT,Operative Note,SURGICAL PROCEDURE(S) PERFORMED,Yes,Yes
458,OPERATIVE REPORT,OPERATING ROOM/SURGICAL REPORT,Post-Op Diagnosis,Yes,Yes
459,OPERATIVE REPORT,Op/Proc Report and OR Notes Only,Pre-Op Diagnosis,Yes,Yes
460,OPERATIVE REPORT,Op/proc Report and OR notes,POSTERIOR OPERATIVE PROCEDURE,Yes,Yes
461,OPERATIVE REPORT,Op Note - Encounter Notes,PROCEDURE IN DETAIl,Yes,Yes
462,OPERATIVE REPORT,Op Note,Surgeon(s),Yes,Yes
463,Progress Note,NEUROSURGICAL PROGRESS NOTE,Assessment/Plan,Yes,Yes
464,Progress Note,Neurosurgery ICU Progress Note,Allergies,Yes,Yes
465,History & Physical,NEUROSURGERY HISTORY AND PHYSICAL,Chief Complaint/Proposed Procedures,Yes,Yes
466,OPERATIVE REPORT,Neurosurgery Bedside Procedure Note,STATEMENT OF TECHNIQUE,Yes,Yes
467,OPERATIVE REPORT,Neuroendovascular Brief Operative Note,Anesthesia,Yes,Yes
468,Progress Note,NEUROCRITICAL CARE,Vitals,No,Yes
469,Progress Note,Neuro Medical Progress Note,Home Medications,Yes,Yes
470,Progress Note,Neuro ICU Progress Notes,Laboratory Data,Yes,Yes
471,Progress Note,Neuro ICU Progress Note,Impression and Plan,Yes,Yes
472,Progress Note,Neuro ICU Progress Not,Disposition,Yes,Yes
473,Progress Note,Multidisciplinary Progress Notes,History,Yes,Yes
474,Discharge Summary,MEDICATION DISCHARGE SUMMARY,MOST RECENT LABS ON DAY OF DISCHARGE,No,Yes
475,Progress Note,Medical Progress Note,Physical Examination:,Yes,Yes
476,OPERATIVE REPORT,Main EP Report,DESCRIPTION OF PROCEDURE,Yes,Yes
477,OPERATIVE REPORT,Invasive Cardiology Procedures,PRIMARY SURGEON,Yes,Yes
478,OPERATIVE REPORT,Intraoperative Notes,Summary of Findings,Yes,Yes
479,OPERATIVE REPORT,Intra operative Neurophysiological MonitoringReport,NAME OF SURGEON,Yes,Yes
480,OPERATIVE REPORT,Interventional Neuroradiology,PROCEDURE,Yes,Yes
481,CONSULTATION REPORT,Interventional Cardiology Consult, Reason for Consultation,Yes,Yes
482,Progress Note,Interim Summary Note / Event Note,Chief Complaint,Yes,Yes
483,Progress Note,Intensivist Progress Note,Current Medications,Yes,Yes
484,Discharge Summary,Inpatient Discharge Instructions,Radiology,No,Yes
485,CONSULTATION REPORT,INPATIENT CARDIOLOGY CONSULT,Histories,Yes,Yes
486,CONSULTATION REPORT,INPATIENT CARDIOLOGY CONSULT,problem list/Past Medical History,Yes,Yes
487,CONSULTATION REPORT,Inpatient Cardiac Rehab Consult,HPI,Yes,Yes
488,CONSULTATION REPORT,Initial Consultation/History and Physical,Review of Systems,Yes,Yes
489,CONSULTATION REPORT,INITIAL CONSULTATION NOTE,Psychiatric History,Yes,Yes
490,OPERATIVE REPORT,ICD Implant Report,INDICATIONS FOR PROCEDURE,Yes,Yes
491,Progress Note,Hospitalist progress note,Review /Management,Yes,Yes
492,History & Physical,Hospitalist History& Physical,Medication Allergies,Yes,Yes
493,History & Physical,Hospitalist History &physical,Medical History,Yes,Yes
494,History & Physical,Hospitalist History &physical,Surgical History,Yes,Yes
495,History & Physical,Hospitalist History &physical,Family Medical History,Yes,Yes
496,History & Physical,Hospitalist History &physical,Hospital Medications,Yes,Yes
497,History & Physical,Hospitalist History &physical,Medications Prior To Hospitalization,Yes,Yes
498,History & Physical,Hospitalist History &physical,Brief Historical Review,Yes,Yes
499,History & Physical,Hospitalist History &physical,Procedure / Operative Data,Yes,Yes
500,History & Physical,Hospitalist History &physical,CONSULTING PHYSICIAN,Yes,Yes
501,History & Physical,Hospitalist History &physical,REASON FOR CONSULTATION,Yes,Yes
502,History & Physical,Hospitalist History &physical,Labs,No,Yes
503,History & Physical,Hospitalist History &physical,Imaging,No,Yes
504,History & Physical,Hospitalist History &physical,Vitals,Yes,Yes
505,History & Physical,Hospitalist History &physical,REASON FOR CONSULT,Yes,Yes
506,History & Physical,Hospitalist History &physical,CARDIOLOGY ATTENDING,Yes,Yes
507,History & Physical,Hospitalist History &physical,Brief HPI,Yes,Yes
508,History & Physical,Hospitalist History &physical,Recent Labs,No,Yes
509,History & Physical,Hospitalist History &physical,ASSESSMENT/ PLAN,Yes,Yes
510,History & Physical,Hospitalist History &physical,Objective,Yes,Yes
511,History & Physical,Hospitalist History &physical,PRE-PROCEDURE ATTESTATION STATEMENT,No,Yes
512,History & Physical,Hospitalist History &physical,PREVIOUS CARDIAC TESTING,No,Yes
513,History & Physical,Hospitalist History &physical,RECOMMENDATIONS,Yes,Yes
514,History & Physical,Hospitalist History &physical,Basic Information,No,Yes
515,History & Physical,Hospitalist History &physical,Problems,Yes,Yes
516,History & Physical,Hospitalist History &physical,Consultants,Yes,Yes
517,History & Physical,Hospitalist History &physical,Health Status,Yes,Yes
518,History & Physical,Hospitalist History &physical,Problem list,Yes,Yes
519,History & Physical,Hospitalist History &physical,Review I Managemen,Yes,Yes
520,History & Physical,Hospitalist History &physical,impression and Plan,Yes,Yes
521,History & Physical,Hospitalist History &physical,Completed Action List,Yes,Yes
522,History & Physical,Hospitalist History &physical,Review! Management,Yes,Yes
523,History & Physical,Hospitalist History &physical,MEDICATIONS PRIOR TO HOSPITAL ADMISSION,Yes,Yes
524,History & Physical,Hospitalist History &physical,LABS/DIAGNOSTIC TESTS,No,Yes
525,History & Physical,Hospitalist History &physical,History information,Yes,Yes
526,History & Physical,Hospitalist History &physical,Reason for History and Physical,Yes,Yes
527,History & Physical,Hospitalist History &physical,Prior to Admission medications,Yes,Yes
528,History & Physical,Hospitalist History &physical,ICU Checklist,No,Yes
529,History & Physical,Hospitalist History &physical,Imaging/Procedures,Yes,Yes
530,History & Physical,Hospitalist History &physical,LABS / RADIOLOGY,Yes,Yes
531,History & Physical,Hospitalist History &physical,PSH,Yes,Yes
532,History & Physical,Hospitalist History &physical,problem List/Past Medical History,Yes,Yes
533,History & Physical,Hospitalist History &physical,Procedure/Surgical History,Yes,Yes
534,History & Physical,Hospitalist History &physical,Procedure/ Operative Data,Yes,Yes
535,History & Physical,Hospitalist History &physical,Vital Signs,Yes,Yes
536,History & Physical,Hospitalist History &physical,Procedure/Operative Data,Yes,Yes
537,History & Physical,Hospitalist History &physical,Radiological images,Yes,Yes
538,History & Physical,Hospitalist History &physical,Visit Information,Yes,Yes
539,History & Physical,Hospitalist History &physical,Histories,Yes,Yes
540,History & Physical,Hospitalist History &physical,Review / Management,Yes,Yes
541,History & Physical,Hospitalist History &physical,Past Medical History/Problem List,Yes,Yes
542,History & Physical,Hospitalist History &physical,Allergy,Yes,Yes
543,History & Physical,Hospitalist History &physical,PREOPERATIVE DIAGNOSES,Yes,Yes
544,History & Physical,Hospitalist History &physical,POSTOPERATIVE DIAGNOSES,Yes,Yes
545,History & Physical,Hospitalist History &physical,PROCEDURE PERFORMED,Yes,Yes
546,History & Physical,Hospitalist History &physical,DESCRIPTION OF PROCEDURE,Yes,Yes
547,History & Physical,Hospitalist History &physical,Allergies/Adverse Allergies/Adverse Reactions,Yes,Yes
548,History & Physical,Hospitalist History &physical,Past Past Medical/Surgical Medical/Surgical History,Yes,Yes
549,History & Physical,Hospitalist History &physical,Exam,Yes,Yes
550,History & Physical,Hospitalist History &physical,History,Yes,Yes
551,History & Physical,Hospitalist History &physical,ASSESSMENT AND PLAN,Yes,Yes
552,History & Physical,Hospitalist History &physical,Informed Consent,No,Yes
553,History & Physical,Hospitalist History &physical,Hospital course,Yes,Yes
554,History & Physical,Hospitalist History &physical,Disposition,Yes,Yes
555,History & Physical,Hospitalist History &physical,Past History Review,Yes,Yes
556,History & Physical,Hospitalist History &physical,TESTING,No,Yes
557,History & Physical,Hospitalist History &physical,Assessment/Orders,Yes,Yes
558,History & Physical,Hospitalist History &physical,Discontinued Medications,Yes,Yes
559,History & Physical,Hospitalist History &physical,Assessment & Plan,Yes,Yes
560,History & Physical,Hospitalist History &physical,Procedure,Yes,Yes
561,History & Physical,Hospitalist History &physical,Date of Service,Yes,Yes
562,History & Physical,Hospitalist History &physical,Intake and Output,Yes,Yes
563,History & Physical,Hospitalist History &physical,Lab Results,Yes,Yes
564,History & Physical,Hospitalist History &physical,Review of system,Yes,Yes
565,History & Physical,Hospitalist History &physical,REASON FOR ADMISSION,Yes,Yes
566,History & Physical,Hospitalist History &physical,EXAMINATION,Yes,Yes
567,History & Physical,Hospitalist History &physical,IMPRESSION,Yes,Yes
568,History & Physical,Hospitalist History &physical,physical Examinations,Yes,Yes
569,History & Physical,Hospitalist History &physical,Diagnostic data,Yes,Yes
570,History & Physical,Hospitalist History &physical,Data Review,Yes,Yes
571,History & Physical,Hospitalist History &physical,Diagnostic Results,Yes,Yes
572,History & Physical,Hospitalist History &physical,General HPI,Yes,Yes
573,History & Physical,Hospitalist History &physical,trauma Information,Yes,Yes
574,History & Physical,Hospitalist History &physical,Primary Survey,No,Yes
575,History & Physical,Hospitalist History &physical,Disability Assessment,No,Yes
576,History & Physical,Hospitalist History &physical,Review of Systems/ Patient History,Yes,Yes
577,History & Physical,Hospitalist History &physical,Secondary Survey Physical Exam,Yes,Yes
578,History & Physical,Hospitalist History &physical,Results and Procedures Interpretation,No,Yes
579,History & Physical,Hospitalist History &physical,CURRENT MEDICATIONS,Yes,Yes
580,History & Physical,Hospitalist History &physical,RECOMMENDATION,Yes,Yes
581,History & Physical,Hospitalist History &physical,problem ist/past medical history,Yes,Yes
582,History & Physical,Hospitalist History &physical,Reason for Angiogram,Yes,Yes
583,History & Physical,Hospitalist History &physical,RADIOGRAPHIC STUDIES,No,Yes
584,History & Physical,Hospitalist History &physical,SocialWork Assessment,No,Yes
585,History & Physical,Hospitalist History &physical,Assessment Data,Yes,Yes
586,History & Physical,Hospitalist History &physical,Initial Discharge Planning,No,Yes
587,History & Physical,Hospitalist History &physical,ADMISSION DIAGNOSIS,Yes,Yes
588,History & Physical,Hospitalist History &physical,DISCHARGE CONDITION,Yes,Yes
589,History & Physical,Hospitalist History &physical,DISCHARGE MEDICATIONS,Yes,Yes
590,History & Physical,Hospitalist History &physical,Social History summary,Yes,Yes
591,History & Physical,Hospitalist History &physical,PastMedical History/Problem List,Yes,Yes
592,History & Physical,Hospitalist History &physical,Social,Yes,Yes
593,History & Physical,Hospitalist History &physical,Family,Yes,Yes
594,History & Physical,Hospitalist History &physical,MEDS,Yes,Yes
595,History & Physical,Hospitalist History &physical,FAM Hx,Yes,Yes
596,History & Physical,Hospitalist History &physical,SOC Hx,Yes,Yes
597,History & Physical,Hospitalist History &physical,DIAGNOSTIC STUDIES,No,Yes
598,History & Physical,Hospitalist History &physical,ADMISSION CHECKLIST,No,Yes
599,History & Physical,Hospitalist History &physical,ORDERS,Yes,Yes
600,History & Physical,Hospitalist History &physical,Diagnosis and Procedure Summary,Yes,Yes
601,History & Physical,Hospitalist History &physical,Known Family History of,Yes,Yes
602,History & Physical,Hospitalist History &physical,Impression & Plan Summary,Yes,Yes
603,History & Physical,Hospitalist History &physical,PMHx,Yes,Yes
604,History & Physical,Hospitalist History &physical,Social Hx,Yes,Yes
605,History & Physical,Hospitalist History &physical,Data,Yes,Yes
606,History & Physical,Hospitalist History &physical,REASON FOR HOSPITALIZATION,Yes,Yes
607,History & Physical,Hospitalist History &physical,ALLERGIES AND INTOLERANCES,Yes,Yes
608,History & Physical,Hospitalist History &physical,History of Present Illness/Subjective,Yes,Yes
609,History & Physical,Hospitalist History &physical,Chronic Problem List,Yes,Yes
610,History & Physical,Hospitalist History &physical,Physical Exam/Objective,Yes,Yes
611,History & Physical,Hospitalist History &physical,Results,Yes,Yes
612,History & Physical,Hospitalist History &physical,Cchronic Problems,Yes,Yes
613,History & Physical,Hospitalist History &physical,Past History,Yes,Yes
614,History & Physical,Hospitalist History &physical,Diagnostics,Yes,Yes
615,History & Physical,Hospitalist History &physical,Secondary Survey,Yes,Yes
616,History & Physical,Hospitalist History &physical,Attending Assessment and Plan Attestation,Yes,Yes
617,History & Physical,Hospitalist History &physical,PERSONAL AND SOCIAL HISTORY,Yes,Yes
618,History & Physical,Hospitalist History &physical,SYSTEM REVIEW,Yes,Yes
619,History & Physical,Hospitalist History &physical,Free Text HPI Notes,Yes,Yes
620,History & Physical,Hospitalist History &physical,Medication/Allergy,Yes,Yes
621,History & Physical,Hospitalist History &physical,"Diagnosis, Assessment & Plan",Yes,Yes
622,History & Physical,Hospitalist History &physical,past Medical & surgical hx,Yes,Yes
623,History & Physical,Hospitalist History &physical,"Diagnosis, Assessment& Plan",Yes,Yes
624,History & Physical,Hospitalist History &physical,Free Text A&P,Yes,Yes
625,History & Physical,Hospitalist History &physical,Allergies/Intolerances,Yes,Yes
626,History & Physical,Hospitalist History &physical,Objective Data,Yes,Yes
627,History & Physical,Hospitalist History &physical,Risk factors,Yes,Yes
628,History & Physical,Hospitalist History &physical,General exam,Yes,Yes
629,History & Physical,Hospitalist History &physical,Ortho Exam,Yes,Yes
630,History & Physical,Hospitalist History &physical,Orders Added,No,Yes
631,History & Physical,Hospitalist History &physical,Assessment / Plan,Yes,Yes
632,History & Physical,Hospitalist History &physical,Home Medications Active,Yes,Yes
633,History & Physical,Hospitalist History &physical,Free Text Dx A&P Notes,Yes,Yes
634,Discharge Summary,Hospitalist Discharge Summary,DISCHARGE DATE,Yes,Yes
635,Discharge Summary,HOSPITAL DISCHARGE SUMMARY,Procedures,Yes,Yes
636,Progress Note,HIT - IM Progress Note,Narrative Hospital course,Yes,Yes
637,History & Physical,History and physicals,Chief Complaint,Yes,Yes
638,History & Physical,History and Physical/Admission Notes,Physical Examination,Yes,Yes
639,History & Physical,History and Physical Reports,History of Present Illness,Yes,Yes
640,History & Physical,History and Physical Notes,PMH,Yes,Yes
641,History & Physical,History and Physical,Review of Systems,Yes,Yes
642,History & Physical,History and Physical,Assessment/Plan,Yes,Yes
643,History & Physical,HISTORY AND PHYSICA,Medications,Yes,Yes
644,History & Physical,History & Physicals (continued),Social History,Yes,Yes
645,History & Physical,History & Physicals,Family History,Yes,Yes
646,History & Physical,History & Physical:,Laboratory Data,Yes,Yes
647,History & Physical,History & Physical - Adul,IMMEDIATE PREOPERATIVE REASSESSMENT,Yes,Yes
648,History & Physical,HISTORY & PHYSICAL,Home Medications,Yes,Yes
649,History & Physical,HISTORY & PHYSICAL,Physical Exam,Yes,Yes
650,History & Physical,H&P Notes (continued),Allergies,Yes,Yes
651,History & Physical,H&P Notes,Code Status,No,Yes
652,History & Physical,H&P (continued),Past Surgical History,Yes,Yes
653,History & Physical,H&P - Inpatient Notes (,Present Illness,Yes,Yes
654,History & Physical,H&P - Encounter Notes,HPI,Yes,Yes
655,History & Physical,H&P - Encounter Notes,ROS,Yes,Yes
656,History & Physical,H&P,Past Medical History,Yes,Yes
657,Progress Note,General Progress/ Information Relay Note,PHYSICAL EXAM:,Yes,Yes
658,OPERATIVE REPORT,General Procedures,MEDICATIONS,Yes,Yes
659,Progress Note,General Medicine Medicine Progress Note,Vital Signs,Yes,Yes
660,CONSULTATION REPORT,FMCH FOLLOW UP CONSULTATION NOTE,Allergies,Yes,Yes
661,OPERATIVE REPORT,FMC Operative Report,Specimens Removed,Yes,Yes
662,History & Physical,FMC H&P,Impression/Plan,Yes,Yes
663,Discharge Summary,FMC Discharge Summary,PRIMARY DISCHARGE DIAGNOSIS,Yes,Yes
664,Anesthesia Reports,FMC Anesthesia Record,Substance History ,Yes,Yes
665,OPERATIVE REPORT,FGTBA Left ARTERIAL CATHETERIZATION,POST PROCEDURAL DIAGNOSIS,Yes,Yes
666,OPERATIVE REPORT,EP Lab Intraoperative Record,OPERATIVE NOTE,Yes,Yes
667,CONSULTATION REPORT,EP Consultation Note,Recommendations,Yes,Yes
668,CONSULTATION REPORT,EP Consultation Note,Diagnosis,Yes,Yes
669,CONSULTATION REPORT,EP Consultation Note,Interventions,Yes,Yes
670,CONSULTATION REPORT,EP Consultation Note,Monitoring and Evaluation,Yes,Yes
671,CONSULTATION REPORT,EP Consultation Note,Result,No,Yes
672,CONSULTATION REPORT,EP Consultation Note,Basic information,No,Yes
673,CONSULTATION REPORT,EP Consultation Note,Current medications,Yes,Yes
674,CONSULTATION REPORT,EP Consultation Note,Intake and Output,Yes,Yes
675,CONSULTATION REPORT,EP Consultation Note,Review / Management,Yes,Yes
676,CONSULTATION REPORT,EP Consultation Note,procedure,Yes,Yes
677,CONSULTATION REPORT,EP Consultation Note,Procedure/surgical history,Yes,Yes
678,CONSULTATION REPORT,EP Consultation Note,Code Status,No,Yes
679,CONSULTATION REPORT,EP Consultation Note,GENERAL,Yes,Yes
680,CONSULTATION REPORT,EP Consultation Note,Laboratory Data,No,Yes
681,CONSULTATION REPORT,EP Consultation Note,CT Abd/Pelvis w/o Contras,No,Yes
682,CONSULTATION REPORT,EP Consultation Note,CT Thorax w/ Contrast,No,Yes
683,CONSULTATION REPORT,EP Consultation Note,IMAGING,No,Yes
684,CONSULTATION REPORT,EP Consultation Note,IMPRESSION,Yes,Yes
685,CONSULTATION REPORT,EP Consultation Note,RECOMMENDATION,Yes,Yes
686,CONSULTATION REPORT,EP Consultation Note,CONCLUSIONS,Yes,Yes
687,CONSULTATION REPORT,EP Consultation Note,DIAGNOSTIC DATA,Yes,Yes
688,CONSULTATION REPORT,EP Consultation Note,Reason for Consultations,Yes,Yes
689,CONSULTATION REPORT,EP Consultation Note,Procedures/surgical history,Yes,Yes
690,CONSULTATION REPORT,EP Consultation Note,SUBJECTIVE,Yes,Yes
691,CONSULTATION REPORT,EP Consultation Note,PROBLEM LIST,Yes,Yes
692,CONSULTATION REPORT,EP Consultation Note,PROPHYLAXIS,No,Yes
693,CONSULTATION REPORT,EP Consultation Note,PHYSICIAN COVID ASSESSMENT,Yes,Yes
694,CONSULTATION REPORT,EP Consultation Note, DISPOSITION,Yes,Yes
695,CONSULTATION REPORT,EP Consultation Note,OBJECTIVE,Yes,Yes
696,CONSULTATION REPORT,EP Consultation Note, LABS,No,Yes
697,CONSULTATION REPORT,EP Consultation Note,RADIOLOGY,No,Yes
698,CONSULTATION REPORT,EP Consultation Note,DISPOSITION,Yes,Yes
699,CONSULTATION REPORT,EP Consultation Note,Home Medications,Yes,Yes
700,CONSULTATION REPORT,EP Consultation Note,Hospital Medications,Yes,Yes
701,CONSULTATION REPORT,EP Consultation Note,Past History,Yes,Yes
702,CONSULTATION REPORT,EP Consultation Note,Diagnostics,Yes,Yes
703,CONSULTATION REPORT,EP Consultation Note,IDENTIFYING DATA,Yes,Yes
704,CONSULTATION REPORT,EP Consultation Note,PAST MEDICAL AND SURGICAL HISTORY,Yes,Yes
705,CONSULTATION REPORT,EP Consultation Note,PSYCHO SOCIAL HISTORY,Yes,Yes
706,CONSULTATION REPORT,EP Consultation Note,Reason for consult,Yes,Yes
707,CONSULTATION REPORT,EP Consultation Note,"Diagnosis, Assessment & Plan",Yes,Yes
708,CONSULTATION REPORT,EP Consultation Note,NARRATIVE,Yes,Yes
709,CONSULTATION REPORT,EP Consultation Note,PMH,Yes,Yes
710,CONSULTATION REPORT,EP Consultation Note,History - Adult longitudinal,Yes,Yes
711,CONSULTATION REPORT,EP Consultation Note,MAGING AND LABORATORY DATA,Yes,Yes
712,CONSULTATION REPORT,EP Consultation Note,REVIEW OF SYSTEM,Yes,Yes
713,CONSULTATION REPORT,EP Consultation Note,DIAGNOSTIC STUDIES,Yes,Yes
714,CONSULTATION REPORT,EP Consultation Note,Home Medications (2) Active,Yes,Yes
715,CONSULTATION REPORT,EP Consultation Note,CHIEFCOMPLAINT,Yes,Yes
716,CONSULTATION REPORT,EP Consultation Note,HISTORY OFPRESENT ILLNESS,Yes,Yes
717,CONSULTATION REPORT,EP Consultation Note,PASTMEDICAL HISTORY,Yes,Yes
718,CONSULTATION REPORT,EP Consultation Note,LABORATORY EXAMINATION,Yes,Yes
719,CONSULTATION REPORT,EP Consultation Note,Historyof Present Illness,Yes,Yes
720,CONSULTATION REPORT,EP Consultation Note,Review /Management,Yes,Yes
721,CONSULTATION REPORT,EP Consultation Note,CONSULTING PHYSICIAN,Yes,Yes
722,Progress Note,Encounter Details,Past Medical/Surgical History,Yes,Yes
723,Emergency provider report,Emergency/Urgent Care,impression,Yes,Yes
724,Emergency provider report,Emergency/Urgent Care,disposition,Yes,Yes
725,Emergency provider report,Emergency/Urgent Care,ed procedures,Yes,Yes
726,Emergency provider report,Emergency/Urgent Care,transfer note,No,Yes
727,Emergency provider report,Emergency/Urgent Care,vital signs,No,Yes
